José Piendibene: {'total_goals': 4, 'matches': 3, 'latest_match': '1921-10-09', 'home_goals': 1, 'away_goals': 3, 'own_goals': 0, 'penalty_goals': 0}
Isabelino Gradín: {'total_goals': 5, 'matches': 4, 'latest_match': '1919-05-26', 'home_goals': 0, 'away_goals': 5, 'own_goals': 0, 'penalty_goals': 0}
Alberto Ohaco: {'total_goals': 4, 'matches': 2, 'latest_match': '1917-10-03', 'home_goals': 4, 'away_goals': 0, 'own_goals': 0, 'penalty_goals': 2}
Telésforo Báez: {'total_goals': 1, 'matches': 1, 'latest_match': '1916-07-06', 'home_goals': 0, 'away_goals': 1, 'own_goals': 0, 'penalty_goals': 0}
Juan Domingo Brown: {'total_goals': 2, 'matches': 1, 'latest_match': '1916-07-06', 'home_goals': 2, 'away_goals': 0, 'own_goals': 0, 'penalty_goals': 2}
Alberto Marcovecchio: {'total_goals': 2, 'matches': 1, 'latest_match': '1916-07-06', 'home_goals': 2, 'away_goals': 0, 'own_goals': 0, 'penalty_goals': 0}
Demóstenes Correia de Syllos: {'total_goals': 1, 'matches': 1, 'latest_match': '1916-07-08', 'home_goals': 1, 'away_goals': 0, 'own_goals': 0, 'penalty_goals': 0}
Hernando Salazar: {'total_goals': 1, 'matches': 1, 'latest_match': '1916-07-08', 'home_goals': 0, 'away_goals': 1, 'own_goals': 0, 'penalty_goals': 0}
José Durand Laguna: {'total_goals': 1, 'matches': 1, 'latest_match': '1916-07-10', 'home_goals': 1, 'away_goals': 0, 'own_goals': 0, 'penalty_goals': 0}
Manoel Alencar Monte: {'total_goals': 1, 'matches': 1, 'latest_match': '1916-07-10', 'home_goals': 0, 'away_goals': 1, 'own_goals': 0, 'penalty_goals': 0}
Arthur Friedenreich: {'total_goals': 7, 'matches': 5, 'latest_match': '1925-12-25', 'home_goals': 6, 'away_goals': 1, 'own_goals': 0, 'penalty_goals': 0}
Jose Tognola: {'total_goals': 1, 'matches': 1, 'latest_match': '1916-07-12', 'home_goals': 0, 'away_goals': 1, 'own_goals': 0, 'penalty_goals': 0}
Carlos Scarone: {'total_goals': 6, 'matches': 5, 'latest_match': '1919-05-26', 'home_goals': 3, 'away_goals': 3, 'own_goals': 0, 'penalty_goals': 1}
Ángel Romano: {'total_goals': 15, 'matches': 11, 'latest_match': '1926-10-28', 'home_goals': 8, 'away_goals': 7, 'own_goals': 0, 'penalty_goals': 0}
Neco: {'total_goals': 8, 'matches': 6, 'latest_match': '1922-10-22', 'home_goals': 7, 'away_goals': 1, 'own_goals': 0, 'penalty_goals': 0}
Pedro Calomino: {'total_goals': 1, 'matches': 1, 'latest_match': '1917-10-03', 'home_goals': 1, 'away_goals': 0, 'own_goals': 0, 'penalty_goals': 0}
Silvio Lagreca: {'total_goals': 1, 'matches': 1, 'latest_match': '1917-10-03', 'home_goals': 0, 'away_goals': 1, 'own_goals': 0, 'penalty_goals': 1}
Antonio Blanco: {'total_goals': 1, 'matches': 1, 'latest_match': '1917-10-03', 'home_goals': 1, 'away_goals': 0, 'own_goals': 0, 'penalty_goals': 0}
Luis García: {'total_goals': 5, 'matches': 3, 'latest_match': '2006-09-02', 'home_goals': 5, 'away_goals': 0, 'own_goals': 1, 'penalty_goals': 0}
Héctor Scarone: {'total_goals': 22, 'matches': 16, 'latest_match': '1930-07-21', 'home_goals': 9, 'away_goals': 13, 'own_goals': 0, 'penalty_goals': 1}
Caetano Izzo: {'total_goals': 1, 'matches': 1, 'latest_match': '1917-10-12', 'home_goals': 1, 'away_goals': 0, 'own_goals': 0, 'penalty_goals': 0}
Haroldo Domingues: {'total_goals': 3, 'matches': 2, 'latest_match': '1919-05-11', 'home_goals': 3, 'away_goals': 0, 'own_goals': 0, 'penalty_goals': 0}
Amílcar Barbuy: {'total_goals': 4, 'matches': 4, 'latest_match': '1922-10-15', 'home_goals': 4, 'away_goals': 0, 'own_goals': 0, 'penalty_goals': 1}
Carlos Izaguirre: {'total_goals': 3, 'matches': 3, 'latest_match': '1919-05-22', 'home_goals': 2, 'away_goals': 1, 'own_goals': 0, 'penalty_goals': 0}
Manuel Varela: {'total_goals': 1, 'matches': 1, 'latest_match': '1919-05-13', 'home_goals': 1, 'away_goals': 0, 'own_goals': 1, 'penalty_goals': 0}
José Pérez: {'total_goals': 4, 'matches': 3, 'latest_match': '1920-10-03', 'home_goals': 0, 'away_goals': 4, 'own_goals': 0, 'penalty_goals': 0}
Heitor: {'total_goals': 1, 'matches': 1, 'latest_match': '1919-05-18', 'home_goals': 1, 'away_goals': 0, 'own_goals': 0, 'penalty_goals': 0}
Adolpho Millón Junior: {'total_goals': 1, 'matches': 1, 'latest_match': '1919-05-18', 'home_goals': 1, 'away_goals': 0, 'own_goals': 0, 'penalty_goals': 0}
Edwin Clarcke: {'total_goals': 3, 'matches': 1, 'latest_match': '1919-05-22', 'home_goals': 3, 'away_goals': 0, 'own_goals': 0, 'penalty_goals': 0}
Alfredo France: {'total_goals': 1, 'matches': 1, 'latest_match': '1919-05-22', 'home_goals': 0, 'away_goals': 1, 'own_goals': 0, 'penalty_goals': 0}
Ismael Alvariza: {'total_goals': 1, 'matches': 1, 'latest_match': '1920-09-11', 'home_goals': 0, 'away_goals': 1, 'own_goals': 0, 'penalty_goals': 0}
Raúl Echeverría: {'total_goals': 3, 'matches': 3, 'latest_match': '1921-10-16', 'home_goals': 2, 'away_goals': 1, 'own_goals': 0, 'penalty_goals': 0}
Antonio Urdinarán: {'total_goals': 2, 'matches': 2, 'latest_match': '1922-09-23', 'home_goals': 0, 'away_goals': 2, 'own_goals': 0, 'penalty_goals': 2}
Antonio Campolo: {'total_goals': 2, 'matches': 2, 'latest_match': '1928-06-07', 'home_goals': 1, 'away_goals': 1, 'own_goals': 0, 'penalty_goals': 0}
Miguel Dellavalle: {'total_goals': 1, 'matches': 1, 'latest_match': '1920-09-20', 'home_goals': 0, 'away_goals': 1, 'own_goals': 0, 'penalty_goals': 0}
