playerName,total_goals,matches,latest_match,home_goals,away_goals,own_goals,penalty_goals
José Piendibene,4,3,1921-10-09,1,3,0,0
Isabelino Gradín,5,4,1919-05-26,0,5,0,0
Alberto Ohaco,4,2,1917-10-03,4,0,0,2
Telésforo Báez,1,1,1916-07-06,0,1,0,0
Juan Domingo Brown,2,1,1916-07-06,2,0,0,2
Alberto Marcovecchio,2,1,1916-07-06,2,0,0,0
Demóstenes Correia de Syllos,1,1,1916-07-08,1,0,0,0
Hernando Salazar,1,1,1916-07-08,0,1,0,0
José Durand Laguna,1,1,1916-07-10,1,0,0,0
Manoel Alencar Monte,1,1,1916-07-10,0,1,0,0
Arthur Friedenreich,7,5,1925-12-25,6,1,0,0
Jose Tognola,1,1,1916-07-12,0,1,0,0
Carlos Scarone,6,5,1919-05-26,3,3,0,1
Ángel Romano,15,11,1926-10-28,8,7,0,0
Neco,8,6,1922-10-22,7,1,0,0
Pedro Calomino,1,1,1917-10-03,1,0,0,0
Silvio Lagreca,1,1,1917-10-03,0,1,0,1
Antonio Blanco,1,1,1917-10-03,1,0,0,0
Luis García,5,3,2006-09-02,5,0,1,0
Héctor Scarone,22,16,1930-07-21,9,13,0,1
Caetano Izzo,1,1,1917-10-12,1,0,0,0
Haroldo Domingues,3,2,1919-05-11,3,0,0,0
Amílcar Barbuy,4,4,1922-10-15,4,0,0,1
Carlos Izaguirre,3,3,1919-05-22,2,1,0,0
Manuel Varela,1,1,1919-05-13,1,0,1,0
José Pérez,4,3,1920-10-03,0,4,0,0
Heitor,1,1,1919-05-18,1,0,0,0
Adolpho Millón Junior,1,1,1919-05-18,1,0,0,0
Edwin Clarcke,3,1,1919-05-22,3,0,0,0
Alfredo France,1,1,1919-05-22,0,1,0,0
Ismael Alvariza,1,1,1920-09-11,0,1,0,0
Raúl Echeverría,3,3,1921-10-16,2,1,0,0
Antonio Urdinarán,2,2,1922-09-23,0,2,0,2
Antonio Campolo,2,2,1928-06-07,1,1,0,0
Miguel Dellavalle,1,1,1920-09-20,0,1,0,0
Hernando Bolados,1,1,1920-09-20,1,0,0,0
Julio Libonatti,4,4,1921-10-30,4,0,0,0
Aurelio Domínguez,1,1,1920-10-03,1,0,0,0
Gerardo Rivas,6,5,1925-12-06,1,5,0,0
Ildefonso López,7,5,1926-10-23,1,6,0,0
Ernesto Duarte Machado da Silva,2,1,1921-10-12,2,0,0,0
Aníbal Médicis Candiota,1,1,1921-10-12,1,0,0,0
Blas Saruppo,3,3,1923-11-18,3,0,0,0
José Carlos Guimarães,1,1,1921-10-23,1,0,0,0
Altino Marcondes,1,1,1922-09-17,1,0,0,0
Manuel Bravo Paredes,2,2,1928-06-08,0,2,0,0
Juan Carlos Heguy,1,1,1922-09-23,0,1,0,0
Angel Chiessa,1,1,1922-09-28,1,0,0,0
Julio Francia,4,2,1922-10-18,4,0,0,1
José Gaslini,1,1,1922-09-28,1,0,0,0
Julio Ramírez,1,1,1922-10-05,0,1,0,0
Luis Fretes,3,3,1925-12-17,0,3,0,0
Felipe Buffoni,1,1,1922-10-08,0,1,0,0
Carlos Elizeche,1,1,1922-10-12,1,0,0,0
Xavier Camargo,2,1,1922-10-22,2,0,0,0
Agustín Zelada,1,1,1923-10-29,0,1,0,0
